id,subject,scene,quality,relevance,verified,script,objects,descriptions,actions,length
DOQ9Y,EA2K,Pantry,7,7,Yes,"A person undressing by removing their jacket in the pantry. They are looking for some food, and when they find some groceries, they decide on leaving the pantry while closing the door.",bag;clothes;door;food;groceries;jacket;shelf,"Person taking off jacket and hanging it up, and then takes some things off the shelf before walking out and shutting the door.;A person takes a jacket off and puts it on a rack. They take some groceries off a shelf and carry them. They close a door",c001 7.40 15.10;c006 34.00 40.90;c061 17.60 32.00;c097 30.10 41.80;c155 0.00 15.10;c081 24.20 35.30;c141 34.20 41.30;c020 30.30 42.00;c000 6.50 14.70;c023 13.00 20.50;c063 17.20 24.50;c063 21.50 28.40,41.29
QGQGZ,6RE8,Kitchen,6,6,Yes,A person opens the door into the kitchen then turns the light on in. They then proceed to put the groceries away.,dish;door;food;groceries;light,A person walks through a doorway and turns on a light. A person grabs food off a shelf.,c008 0.00 9.40;c104 10.40 15.00;c130 14.70 34.00;c118 18.80 34.00;c063 19.10 34.00;c061 18.90 33.80;c097 1.00 9.60,32.92
MD41D,4I61,Living room,7,7,Yes,A person is standing at the window and watching outside. They take a photograph through the window using a camera.,camera;doorway;phone;window,"A person walks into a room and begins looking out a window, they then snap a picture with a camera and leave.",c015 6.70 39.50;c092 11.00 37.70;c087 38.50 42.00;c097 38.50 42.00,40.50
N915C,6RE8,Bedroom,6,7,Yes,"A person is undressing as the person stands in front of the wardrobe. Then, wrapped in a blanket, the person picks up a broom and begins tidying the room.",blanket;broom;clothes;doorway;floor,"A person walks into a room and gets undressed.;A person walks into the room and undresses. They snuggle with a blanket, pick up a broom, and sweep the floor.",c100 21.70 35.00;c102 20.90 35.00;c072 14.40 35.00;c155 0.00 16.60;c097 0.00 4.50;c127 23.60 35.00;c001 6.10 18.10;c073 15.40 28.60,33.83
FXRMG,XXN8,Bedroom,7,7,Yes,"A person takes a book from their desk. Holding the book, the person looks around and leaves the room.",book;desk;door;table,"A person picks up a book off of a table, looks around, and then opens a door, exits, and closes a door.;A person grabs a book from a desk and holds it as they look around. They set it on the desk before walking out the door.",c009 18.50 23.60;c026 1.50 22.80;c006 23.60 29.30;c008 22.90 28.10;c097 23.40 31.10;c028 18.80 25.00;c030 0.00 5.80;c154 20.60 25.50;c032 1.30 7.30;c141 22.60 27.90,33.00
OI3BC,2RTW,Bedroom,6,6,Yes,A person puts a towel onto a chair in their study. The person notices an open drawer in the nearby desk; the person closes it.,cabinet;chair;clothes;desktop;door;laptop;shelf;shirt;towel,"A person enters the room carrying a towel.  They put it on a chair, then close the door of a cabinet.;A person walks to his room and puts his shirt on his chair. The person then is trying to look for something.",c097 0.00 5.40;c033 0.00 5.90;c112 11.40 19.80;c001 0.50 8.20;c034 2.60 10.80;c006 11.50 24.60;c003 2.50 9.30;c082 10.80 24.20,29.71
0TQZQ,T7C3,Pantry,6,7,No,"A person stands in front of the medicine cabinet, reading a book. The person closes the book, and runs out of the bathroom.",book;cabinet;doorway;medicine,A person abruptly walks out of a closet after standing there for a few seconds reading a book.,c025 14.60 18.80;c026 0.00 22.00;c032 0.00 18.80;c097 15.10 20.30,20.54
R00LO,D0RU,Kitchen,7,7,Yes,A person is walking toward a pantry while snuggling a blanket. The person grabs a sandwich.,blanket;dish;doorway;food;sandwich,"A person walks through a door wrapped in a blanket. They walk to the pantry and grab food. They then eat the food.;A person walks through a doorway wearing a blanket, they then go to the fridge, take out some food, and begin to eat it",c156 24.20 31.30;c063 15.70 21.20;c097 8.80 14.20;c073 8.30 33.00;c118 21.70 33.00;c067 21.70 33.00;c120 21.70 33.00;c061 20.30 33.00;c072 8.70 33.00;c065 23.90 33.00,31.75
G6MYM,2RTW,Entryway (A hall that is generally located at the entrance of a house),6,6,Yes,A person is in the entryway watching the mirror.  Another person is working on bringing in groceries to the house.,bag;door;food;groceries;hair;mirror;table,A person is standing in front of a mirror fixing their hair when another person comes in through the door holding a bag and goes to the table and puts groceries in the bag.;A person is looking at himself in the mirror and flexes. Another person walks in with a bag sand puts something in the bag;A person stands and poses in front of a mirror. Another person walks into the room holding a bag of food and starts putting the bag's contents onto the table.,c062 17.00 32.00;c096 0.00 32.00;c008 8.10 17.00;c144 16.80 23.90;c020 11.20 32.00;c130 14.70 32.00;c097 10.10 16.20;c021 15.40 32.00,30.58
SYMIR,FNK4,Entryway (A hall that is generally located at the entrance of a house),7,7,Yes,"A person is standing in the hall undressing after work, taking off their shoes and jacket. This person places the shoes on a nearby towel.",clothes;door;floor;shoe,"the person is coming indoors then removing a sweater and hanging it on a doorknob, then removing shoes then taking back the sweater and exiting the room",c057 12.90 33.00;c154 25.60 32.50;c155 5.30 14.60;c056 16.10 31.80;c002 6.20 13.50;c000 9.30 15.30;c097 0.10 7.10;c006 1.20 7.00;c001 9.30 15.30;c008 0.00 4.80;c126 17.70 31.10;c141 0.30 7.80,35.42
